areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-06-07,7065,4533423
overview,United Kingdom,K02000001,2021-06-06,5303,4526358
overview,United Kingdom,K02000001,2021-06-05,4568,4521055
overview,United Kingdom,K02000001,2021-06-04,5687,4516487
overview,United Kingdom,K02000001,2021-06-03,6064,4510800
overview,United Kingdom,K02000001,2021-06-02,6042,4504736
overview,United Kingdom,K02000001,2021-06-01,5241,4498694
overview,United Kingdom,K02000001,2021-05-31,3799,4493453
overview,United Kingdom,K02000001,2021-05-30,3095,4489654
overview,United Kingdom,K02000001,2021-05-29,2931,4486559
overview,United Kingdom,K02000001,2021-05-28,3489,4483628
overview,United Kingdom,K02000001,2021-05-27,3626,4480139
overview,United Kingdom,K02000001,2021-05-26,3790,4476513
overview,United Kingdom,K02000001,2021-05-25,3289,4472723
overview,United Kingdom,K02000001,2021-05-24,3225,4469434
overview,United Kingdom,K02000001,2021-05-23,2236,4466209
overview,United Kingdom,K02000001,2021-05-22,1932,4463973
overview,United Kingdom,K02000001,2021-05-21,2287,4462041
overview,United Kingdom,K02000001,2021-05-20,2426,4459754
overview,United Kingdom,K02000001,2021-05-19,2710,4457328
overview,United Kingdom,K02000001,2021-05-18,2701,4454618
overview,United Kingdom,K02000001,2021-05-17,2759,4451917
overview,United Kingdom,K02000001,2021-05-16,1852,4449158
overview,United Kingdom,K02000001,2021-05-15,1579,4447306
overview,United Kingdom,K02000001,2021-05-14,1846,4445727
overview,United Kingdom,K02000001,2021-05-13,2091,4443881
overview,United Kingdom,K02000001,2021-05-12,2229,4441790
overview,United Kingdom,K02000001,2021-05-11,2198,4439561
overview,United Kingdom,K02000001,2021-05-10,2647,4437363
overview,United Kingdom,K02000001,2021-05-09,2167,4434716
overview,United Kingdom,K02000001,2021-05-08,1511,4432549
overview,United Kingdom,K02000001,2021-05-07,1863,4431038
overview,United Kingdom,K02000001,2021-05-06,2154,4429175
overview,United Kingdom,K02000001,2021-05-05,2390,4427021
overview,United Kingdom,K02000001,2021-05-04,2400,4424631
overview,United Kingdom,K02000001,2021-05-03,1974,4422231
overview,United Kingdom,K02000001,2021-05-02,1424,4420257
overview,United Kingdom,K02000001,2021-05-01,1353,4418833
overview,United Kingdom,K02000001,2021-04-30,1699,4417480
overview,United Kingdom,K02000001,2021-04-29,2083,4415781
overview,United Kingdom,K02000001,2021-04-28,2362,4413698
overview,United Kingdom,K02000001,2021-04-27,2060,4411336
overview,United Kingdom,K02000001,2021-04-26,2439,4409276
overview,United Kingdom,K02000001,2021-04-25,1992,4406837
overview,United Kingdom,K02000001,2021-04-24,1463,4404845
overview,United Kingdom,K02000001,2021-04-23,1887,4403382
overview,United Kingdom,K02000001,2021-04-22,2244,4401495
overview,United Kingdom,K02000001,2021-04-21,2536,4399251
overview,United Kingdom,K02000001,2021-04-20,2362,4396715
overview,United Kingdom,K02000001,2021-04-19,2597,4394353
overview,United Kingdom,K02000001,2021-04-18,2433,4391756
overview,United Kingdom,K02000001,2021-04-17,1634,4389323
overview,United Kingdom,K02000001,2021-04-16,2188,4387689
overview,United Kingdom,K02000001,2021-04-15,2185,4385501
overview,United Kingdom,K02000001,2021-04-14,2396,4383316
overview,United Kingdom,K02000001,2021-04-13,2331,4380920
overview,United Kingdom,K02000001,2021-04-12,2702,4378589
overview,United Kingdom,K02000001,2021-04-11,2251,4375887
overview,United Kingdom,K02000001,2021-04-10,2258,4373636
overview,United Kingdom,K02000001,2021-04-09,2782,4371378
overview,United Kingdom,K02000001,2021-04-08,2981,4368596
overview,United Kingdom,K02000001,2021-04-07,3075,4365615
overview,United Kingdom,K02000001,2021-04-06,3114,4362540
overview,United Kingdom,K02000001,2021-04-05,2614,4359426
overview,United Kingdom,K02000001,2021-04-04,2293,4356812
overview,United Kingdom,K02000001,2021-04-03,2405,4354519
overview,United Kingdom,K02000001,2021-04-02,2623,4352114
overview,United Kingdom,K02000001,2021-04-01,3471,4349491
overview,United Kingdom,K02000001,2021-03-31,3764,4346020
overview,United Kingdom,K02000001,2021-03-30,3594,4342256
overview,United Kingdom,K02000001,2021-03-29,3980,4338662
overview,United Kingdom,K02000001,2021-03-28,4649,4334682
overview,United Kingdom,K02000001,2021-03-27,3536,4330033
overview,United Kingdom,K02000001,2021-03-26,4387,4326497
overview,United Kingdom,K02000001,2021-03-25,5394,4322110
overview,United Kingdom,K02000001,2021-03-24,6003,4316716
overview,United Kingdom,K02000001,2021-03-23,5252,4310713
overview,United Kingdom,K02000001,2021-03-22,6200,4305461
overview,United Kingdom,K02000001,2021-03-21,5233,4299261
overview,United Kingdom,K02000001,2021-03-20,4098,4294028
overview,United Kingdom,K02000001,2021-03-19,4995,4289930
overview,United Kingdom,K02000001,2021-03-18,5473,4284935
overview,United Kingdom,K02000001,2021-03-17,5777,4279462
overview,United Kingdom,K02000001,2021-03-16,5671,4273685
overview,United Kingdom,K02000001,2021-03-15,6505,4268014
overview,United Kingdom,K02000001,2021-03-14,4300,4261509
overview,United Kingdom,K02000001,2021-03-13,4240,4257209
overview,United Kingdom,K02000001,2021-03-12,5587,4252969
overview,United Kingdom,K02000001,2021-03-11,5769,4247382
overview,United Kingdom,K02000001,2021-03-10,6034,4241613
overview,United Kingdom,K02000001,2021-03-09,6220,4235579
overview,United Kingdom,K02000001,2021-03-08,6640,4229359
overview,United Kingdom,K02000001,2021-03-07,4271,4222719
overview,United Kingdom,K02000001,2021-03-06,4495,4218448
overview,United Kingdom,K02000001,2021-03-05,5298,4213953
overview,United Kingdom,K02000001,2021-03-04,5718,4208655
overview,United Kingdom,K02000001,2021-03-03,5968,4202937
overview,United Kingdom,K02000001,2021-03-02,6652,4196969
overview,United Kingdom,K02000001,2021-03-01,6875,4190317
overview,United Kingdom,K02000001,2021-02-28,4710,4183442
overview,United Kingdom,K02000001,2021-02-27,4813,4178732
overview,United Kingdom,K02000001,2021-02-26,6568,4173919
overview,United Kingdom,K02000001,2021-02-25,7710,4167351
overview,United Kingdom,K02000001,2021-02-24,8535,4159641
