State,Date,New Cases,7-Day Moving Average,,,
United States,May 31 2021,"3,738","15,961",,,
United States,May 30 2021,"7,557","17,606",,,
United States,May 29 2021,"12,282","18,657",,,
United States,May 28 2021,"20,879","20,167",,,
United States,May 27 2021,"20,772","20,922",,,
United States,May 26 2021,"23,355","21,879",,,
United States,May 25 2021,"23,146","22,559",,,
United States,May 24 2021,"15,257","23,434",,,
United States,May 23 2021,"14,910","23,768",,,
United States,May 22 2021,"22,850","24,534",,,
United States,May 21 2021,"26,165","25,457",,,
United States,May 20 2021,"27,475","26,641",,,
United States,May 19 2021,"28,111","27,811",,,
United States,May 18 2021,"29,270","28,723",,,
United States,May 17 2021,"17,598","29,591",,,
United States,May 16 2021,"20,274","30,387",,,
United States,May 15 2021,"29,310","31,177",,,
United States,May 14 2021,"34,449","32,302",,,
United States,May 13 2021,"35,669","33,644",,,
United States,May 12 2021,"34,495","34,682",,,
United States,May 11 2021,"35,342","36,087",,,
United States,May 10 2021,"23,172","37,469",,,
United States,May 9 2021,"25,804","38,496",,,
United States,May 8 2021,"37,189","40,047",,,
United States,May 7 2021,"43,842","41,757",,,
United States,May 6 2021,"42,932","43,271",,,
United States,May 5 2021,"44,333","45,347",,,
United States,May 4 2021,"45,016","46,667",,,
United States,May 3 2021,"30,361","47,810",,,
United States,May 2 2021,"36,661","48,624",,,
United States,May 1 2021,"49,159","49,078",,,
United States,Apr 30 2021,"54,438","50,057",,,
United States,Apr 29 2021,"57,466","51,130",,,
United States,Apr 28 2021,"53,573","51,800",,,
United States,Apr 27 2021,"53,015","53,088",,,
United States,Apr 26 2021,"36,059","54,164",,,
United States,Apr 25 2021,"39,842","53,506",,,
United States,Apr 24 2021,"56,011","55,220",,,
United States,Apr 23 2021,"61,947","58,015",,,
United States,Apr 22 2021,"62,155","59,143",,,
United States,Apr 21 2021,"62,592","60,865",,,
United States,Apr 20 2021,"60,542","62,222",,,
United States,Apr 19 2021,"31,454","64,539",,,
United States,Apr 18 2021,"51,845","67,330",,,
United States,Apr 17 2021,"75,573","67,479",,,
United States,Apr 16 2021,"69,843","66,349",,,
United States,Apr 15 2021,"74,206","67,646",,,
United States,Apr 14 2021,"72,093","67,812",,,
United States,Apr 13 2021,"76,765","68,326",,,
United States,Apr 12 2021,"50,990","66,964",,,
United States,Apr 11 2021,"52,885","66,892",,,
United States,Apr 10 2021,"67,666","65,767",,,
United States,Apr 9 2021,"78,918","65,382",,,
United States,Apr 8 2021,"75,372","63,974",,,
United States,Apr 7 2021,"75,688","63,832",,,
United States,Apr 6 2021,"67,235","63,025",,,
United States,Apr 5 2021,"50,484","63,017",,,
United States,Apr 4 2021,"45,006","63,050",,,
United States,Apr 3 2021,"64,972","64,058",,,
United States,Apr 2 2021,"69,062","64,069",,,
United States,Apr 1 2021,"74,381","64,954",,,
United States,Mar 31 2021,"70,041","63,809",,,
United States,Mar 30 2021,"67,179","63,163",,,
United States,Mar 29 2021,"50,711","62,673",,,
United States,Mar 28 2021,"52,061","62,604",,,
United States,Mar 27 2021,"65,054","61,261",,,
United States,Mar 26 2021,"75,256","60,512",,,
United States,Mar 25 2021,"66,367","58,161",,,
United States,Mar 24 2021,"65,519","57,125",,,
United States,Mar 23 2021,"63,747","55,897",,,
United States,Mar 22 2021,"50,229","54,801",,,
United States,Mar 21 2021,"42,660","53,355",,,
United States,Mar 20 2021,"59,807","53,374",,,
United States,Mar 19 2021,"58,801","52,588",,,
United States,Mar 18 2021,"59,114","52,644",,,
United States,Mar 17 2021,"56,926","52,723",,,
United States,Mar 16 2021,"56,074","52,669",,,
United States,Mar 15 2021,"40,107","52,621",,,
United States,Mar 14 2021,"42,791","52,735",,,
United States,Mar 13 2021,"54,306","52,478",,,
United States,Mar 12 2021,"59,190","52,731",,,
United States,Mar 11 2021,"59,668","53,312",,,
United States,Mar 10 2021,"56,553","54,006",,,
United States,Mar 9 2021,"55,736","55,007",,,
United States,Mar 8 2021,"40,902","55,418",,,
United States,Mar 7 2021,"40,997","56,184",,,
United States,Mar 6 2021,"56,071","57,487",,,
United States,Mar 5 2021,"63,260","59,036",,,
United States,Mar 4 2021,"64,524","59,996",,,
United States,Mar 3 2021,"63,564","60,859",,,
United States,Mar 2 2021,"58,611","62,020",,,
United States,Mar 1 2021,"46,263","64,044",,,
United States,Feb 28 2021,"50,121","64,919",,,
United States,Feb 27 2021,"66,912","64,954",,,
United States,Feb 26 2021,"69,978","64,959",,,
United States,Feb 25 2021,"70,565","64,821",,,
United States,Feb 24 2021,"71,694","64,300",,,
United States,Feb 23 2021,"72,778","64,346",,,
United States,Feb 22 2021,"52,385","62,292",,,
United States,Feb 21 2021,"50,370","62,052",,,
United States,Feb 20 2021,"66,949","63,536",,,
United States,Feb 19 2021,"69,012","66,019",,,
United States,Feb 18 2021,"66,916","69,484",,,
United States,Feb 17 2021,"72,016","74,104",,,
United States,Feb 16 2021,"58,399","77,503",,,
United States,Feb 15 2021,"50,706","83,018",,,
United States,Feb 14 2021,"60,755","86,457",,,
United States,Feb 13 2021,"84,331","89,225",,,
United States,Feb 12 2021,"93,267","92,063",,,
United States,Feb 11 2021,"99,254","96,111",,,
United States,Feb 10 2021,"95,813","99,211",,,
United States,Feb 9 2021,"97,003","101,871",,,
United States,Feb 8 2021,"74,776","106,202",,,
United States,Feb 7 2021,"80,132","112,133",,,
United States,Feb 6 2021,"104,200","114,778",,,
United States,Feb 5 2021,"121,604","121,354",,,
United States,Feb 4 2021,"120,950","123,895",,,
United States,Feb 3 2021,"114,438","128,756",,,
United States,Feb 2 2021,"127,320","134,957",,,
United States,Feb 1 2021,"116,289","139,362",,,
United States,Jan 31 2021,"98,651","139,134",,,
