"metric.code","period","first.deriv","first.ews","day.prior","data.source","prediction"
"acf","first","2020-03-11",NA,NA,"UK","miss"
"acf","second","2020-09-15",NA,NA,"UK","miss"
"acf","third","2021-05-15","2021-05-28",-13,"UK","post"
"acf + SD","first","2020-03-11",NA,NA,"UK","miss"
"acf + SD","second","2020-09-15","2020-07-29",48,"UK","prior"
"acf + SD","third","2021-05-15","2021-05-26",-11,"UK","post"
"acf + SD + skew","first","2020-03-11",NA,NA,"UK","miss"
"acf + SD + skew","second","2020-09-15","2020-07-29",48,"UK","prior"
"acf + SD + skew","third","2021-05-15","2021-05-25",-10,"UK","post"
"acf + skew","first","2020-03-11",NA,NA,"UK","miss"
"acf + skew","second","2020-09-15","2020-07-29",48,"UK","prior"
"acf + skew","third","2021-05-15","2021-05-26",-11,"UK","post"
"SD","first","2020-03-11",NA,NA,"UK","miss"
"SD","second","2020-09-15",NA,NA,"UK","miss"
"SD","third","2021-05-15","2021-05-26",-11,"UK","post"
"SD + skew","first","2020-03-11",NA,NA,"UK","miss"
"SD + skew","second","2020-09-15",NA,NA,"UK","miss"
"SD + skew","third","2021-05-15","2021-05-25",-10,"UK","post"
"skew","first","2020-03-11",NA,NA,"UK","miss"
"skew","second","2020-09-15","2020-09-02",13,"UK","prior"
"skew","third","2021-05-15","2021-05-25",-10,"UK","post"
"acf","first","2020-04-25",NA,NA,"India","miss"
"acf","second","2021-03-15",NA,NA,"India","miss"
"acf + SD","first","2020-04-25",NA,NA,"India","miss"
"acf + SD","second","2021-03-15","2021-03-12",3,"India","prior"
"acf + SD + skew","first","2020-04-25","2020-03-21",35,"India","prior"
"acf + SD + skew","second","2021-03-15","2021-03-11",4,"India","prior"
"acf + skew","first","2020-04-25","2020-03-21",35,"India","prior"
"acf + skew","second","2021-03-15","2021-03-11",4,"India","prior"
"SD","first","2020-04-25",NA,NA,"India","miss"
"SD","second","2021-03-15","2021-03-11",4,"India","prior"
"SD + skew","first","2020-04-25","2020-03-21",35,"India","prior"
"SD + skew","second","2021-03-15","2021-03-11",4,"India","prior"
"skew","first","2020-04-25",NA,NA,"India","miss"
"skew","second","2021-03-15","2021-03-11",4,"India","prior"
"acf","first","2020-04-21",NA,NA,"Chile","miss"
"acf","second","2020-12-06","2021-01-03",-28,"Chile","post"
"acf + SD","first","2020-04-21",NA,NA,"Chile","miss"
"acf + SD","second","2020-12-06","2020-09-22",75,"Chile","prior"
"acf + SD + skew","first","2020-04-21","2020-05-02",-11,"Chile","post"
"acf + SD + skew","second","2020-12-06","2020-12-18",-12,"Chile","post"
"acf + skew","first","2020-04-21","2020-05-03",-12,"Chile","post"
"acf + skew","second","2020-12-06","2020-12-18",-12,"Chile","post"
"SD","first","2020-04-21","2020-05-03",-12,"Chile","post"
"SD","second","2020-12-06","2020-09-22",75,"Chile","prior"
