metric.code,period,mean,se,n,n_missed,n_prior,prop_missed,prop_prior
acf,first,12.6666666666667,0.339355325635295,24,21,3,0.875,0.125
acf,second,-1.15384615384615,1.05407143754188,24,11,4,0.458333333333333,0.166666666666667
acf,third,-7.33333333333333,0.983192080250175,8,2,1,0.25,0.125
acf + SD,first,17,0.802556678510759,24,17,6,0.708333333333333,0.25
acf + SD,second,15.6666666666667,1.00366973710303,24,6,12,0.25,0.5
acf + SD,third,-4.85714285714286,0.798529153834605,8,1,1,0.125,0.125
acf + SD + skew,first,14.6363636363636,0.866881529309851,24,13,8,0.541666666666667,0.333333333333333
acf + SD + skew,second,13.15,0.908282531172294,24,4,12,0.166666666666667,0.5
acf + SD + skew,third,-5,0.763762615825973,8,1,1,0.125,0.125
acf + skew,first,12.7692307692308,0.715881725775386,24,11,9,0.458333333333333,0.375
acf + skew,second,12.5263157894737,0.992872790199162,24,5,10,0.208333333333333,0.416666666666667
acf + skew,third,-5.83333333333333,0.834478379987562,8,2,1,0.25,0.125
SD,first,11.6,0.757218350034935,24,14,8,0.583333333333333,0.333333333333333
SD,second,12.5882352941176,0.983926686220172,24,7,12,0.291666666666667,0.5
SD,third,-5.33333333333333,0.812660240608993,8,2,1,0.25,0.125
SD + skew,first,10.0909090909091,0.883186808888097,24,13,6,0.541666666666667,0.25
SD + skew,second,11.55,0.908604397829103,24,4,11,0.166666666666667,0.458333333333333
SD + skew,third,-5.14285714285714,0.761811750275055,8,1,1,0.125,0.125
skew,first,-0.666666666666667,1.15826588532647,24,15,3,0.625,0.125
skew,second,7.23529411764706,0.802222581495583,24,7,8,0.291666666666667,0.333333333333333
skew,third,-6.2,0.941242529850835,8,3,1,0.375,0.125
